"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Total Greenhouse Gases (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",71184.9,71428.1,70970.2,71276.4,73788.7,73120.5,77088.0,72084.3,72549.4,69454.6,68114.6,68934.3,69642.1,70017.2,69455.1,66624.0,66247.4,65129.2,62753.4,58496.8,64467.3,60131.5,57294.3,55607.7,53846.4,53739.2,53285.9,52715.0,51779.2
"Total Greenhouse Gases (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",74916.7,75188.7,74882.6,75436.6,78587.9,77998.1,82195.0,78010.0,79354.5,76419.3,74979.2,75630.4,75495.0,77315.4,77875.5,75324.6,75458.0,74459.2,72138.3,67960.9,73553.1,68274.9,65080.7,63130.7,61841.3,61825.6,62302.8,62940.4,63079.3
"Total Greenhouse Gases (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",36697.1,37829.5,37527.3,41916.2,42132.3,38593.8,40156.2,34462.3,34318.3,31895.4,28382.5,28003.7,29122.9,31954.4,37584.2,34495.1,23959.0,24661.7,21350.8,16686.6,19359.7,16293.6,12845.0,13100.4,12827.0,11746.5,8497.5,9647.2,9785.3
"Total Greenhouse Gases (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",40428.9,41590.1,41439.7,46076.4,46931.5,43471.4,45263.3,40388.0,41123.3,38860.2,35247.0,34699.8,34975.8,39252.5,46004.6,43195.7,33169.7,33991.8,30735.7,26150.7,28445.4,24437.0,20631.5,20623.4,20822.0,19832.9,17514.3,19872.6,21085.4
"Total Greenhouse Gases (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",3305.6,3098.2,3499.4,3516.6,3721.7,3550.9,3528.0,3655.3,3796.0,3658.9,3508.0,3511.8,3641.1,3692.1,3718.2,3843.4,3809.2,3710.1,3760.8,3683.4,3822.9,3803.9,3713.2,3665.8,3507.8,3477.0,3281.5,3302.7,3123.5
"Total Greenhouse Gases (kt CO2-eqv.)","WASTE, TOTAL",3742.3,3807.8,3819.8,3699.0,3568.0,3561.9,3535.5,3501.1,3448.4,3317.7,3222.4,3171.7,2997.8,2868.7,2853.7,2716.1,2624.0,2450.3,2189.3,2100.2,1968.2,1878.5,1759.8,1674.0,1559.0,1463.3,1384.2,1322.5,1245.6
"Total Greenhouse Gases (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",6484.4,7509.1,7997.2,7883.2,8499.2,7573.6,11665.4,7148.2,7981.5,6241.0,4957.1,5808.4,6849.6,7838.1,6837.7,5952.3,6019.5,5850.6,5495.6,6679.0,8663.4,6421.9,5824.5,5662.7,4511.7,4698.6,5055.2,4543.9,4907.0
"Total Greenhouse Gases (kt CO2-eqv.)","INDUSTRY, TOTAL",20761.2,20537.2,19089.1,20307.3,21560.6,22357.5,22393.1,22395.0,22158.4,21157.3,21573.3,22332.0,22152.0,21750.5,21920.8,21162.7,21639.4,20845.1,20118.5,15734.1,19322.8,18161.9,17463.9,16583.1,16606.1,16534.6,16739.3,17034.8,16738.9
"Total Greenhouse Gases (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",19387.0,19551.2,20466.5,19445.7,19880.4,19928.3,19597.6,19584.1,19548.2,19838.3,19645.2,19653.4,20138.3,20327.2,20679.2,20816.9,20787.4,21112.0,20523.3,20203.5,20294.6,19927.6,18784.4,18338.5,17969.0,17951.2,17283.0,16860.6,16463.1
"Total Greenhouse Gases (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",3731.8,3760.6,3912.4,4160.2,4799.2,4877.6,5107.0,5925.7,6805.0,6964.7,6864.5,6696.1,5852.9,7298.2,8420.4,8700.6,9210.6,9330.0,9384.9,9464.1,9085.8,8143.5,7786.4,7523.0,7995.0,8086.4,9016.9,10225.4,11300.1
"Total Greenhouse Gases (kt CO2-eqv.)","AGRICULTURE, TOTAL",7641.1,7315.6,7266.6,7601.5,7750.9,7579.6,7668.5,7686.0,7564.9,7434.6,7406.3,7378.7,7247.0,7159.4,7188.5,7042.1,6913.3,6926.6,6963.6,6711.3,6832.6,6825.0,6754.7,6829.7,6885.9,6898.4,6868.7,7029.5,6790.2
"Total Greenhouse Gases (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",565.1,506.8,489.9,516.1,501.7,647.2,713.7,937.9,998.7,1223.0,1339.7,1441.4,1516.9,1578.5,1749.5,1755.8,1736.0,1745.0,1792.1,1724.1,1730.1,1650.5,1698.5,1680.8,1702.3,1685.8,1701.3,1695.2,1626.3
"Total Greenhouse Gases (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",9298.1,9102.2,8341.7,8307.0,8306.3,7921.5,7986.2,7176.6,7053.4,6583.8,6462.7,5636.9,5099.5,4802.8,4507.7,3334.6,2718.6,2489.4,1910.2,1661.1,1832.7,1462.2,1295.3,1173.1,1104.7,1030.4,972.6,925.8,884.7
